//X Y Z Point_Source_ID Scan_Angle_Rank Flightline_Edge Number_of_Returns Return_Number Time Intensity Classification
236464.60998535 548267.16999817 32.34000015 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.624934 38.000000 1.000000
236464.79998779 548266.90000153 32.40000153 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.624936 92.000000 1.000000
236464.98999023 548266.62000275 32.45999908 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.624939 37.000000 1.000000
236465.20001221 548266.33000183 32.52000046 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.624942 108.000000 1.000000
236465.38000488 548266.06999969 32.58000183 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.624944 24.000000 1.000000
236465.59002686 548265.77999878 32.65000153 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.624947 27.000000 1.000000
236465.77001953 548265.51999664 32.70999908 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624950 46.000000 1.000000
236465.96002197 548265.25000000 32.77000046 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624952 35.000000 1.000000
236466.15002441 548264.98999786 32.88000107 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624954 35.000000 1.000000
236466.35998535 548264.69999695 32.95999908 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624957 51.000000 1.000000
236466.55999756 548264.41999817 33.04999924 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624960 13.000000 1.000000
236466.75000000 548264.16000366 33.16999817 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624963 13.000000 1.000000
236466.95001221 548263.88000107 33.29000092 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624965 31.000000 1.000000
236467.15002441 548263.61000061 33.40999985 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624968 32.000000 1.000000
236467.33001709 548263.34999847 33.54000092 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624970 59.000000 1.000000
236467.52001953 548263.08000183 33.66999817 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624973 64.000000 1.000000
236467.71997070 548262.81000137 33.81000137 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624975 107.000000 1.000000
236467.92999268 548262.52000046 33.95999908 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624978 41.000000 1.000000
236468.11999512 548262.25999832 34.11000061 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624981 31.000000 1.000000
236468.33001709 548261.97000122 34.29000092 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624983 34.000000 1.000000
236468.52001953 548261.72000122 34.41999817 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624986 70.000000 1.000000
236468.71002197 548261.45000076 34.59000015 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624988 56.000000 1.000000
236468.90002441 548261.20000076 34.77999878 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624991 41.000000 1.000000
236469.11999512 548260.90999985 34.99000168 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624994 63.000000 1.000000
236469.32000732 548260.63999939 35.18000031 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.624996 97.000000 1.000000
236461.08001709 548270.31999969 19.20000076 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630821 87.000000 1.000000
236462.14001465 548270.02999878 32.11999893 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.630824 123.000000 1.000000
236462.32000732 548269.76999664 32.15000153 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630827 23.000000 1.000000
236462.52001953 548269.47000122 32.09999847 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630830 40.000000 1.000000
236461.53002930 548269.44999695 16.96999931 168.000000 2.000000 0.000000 2.000000 2.000000 234371016.630830 65.000000 1.000000
236462.70001221 548269.20999908 32.11000061 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630832 36.000000 1.000000
236462.89001465 548268.94000244 32.11000061 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630834 48.000000 1.000000
236463.07000732 548268.69000244 32.09999847 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630837 41.000000 1.000000
236463.27001953 548268.38999939 32.15000153 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630840 23.000000 1.000000
236463.46997070 548268.11000061 32.11999893 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630842 58.000000 1.000000
236463.65997314 548267.83999634 32.15000153 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630845 66.000000 1.000000
236463.84997559 548267.55999756 32.20000076 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630848 30.000000 1.000000
236464.03997803 548267.29000092 32.22000122 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630850 110.000000 1.000000
236464.21997070 548267.02999878 32.25999832 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630852 34.000000 1.000000
236464.41998291 548266.76000214 32.27999878 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630855 34.000000 1.000000
236464.60998535 548266.48000336 32.34000015 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630858 30.000000 1.000000
236464.82000732 548266.19000244 32.38999939 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630861 60.000000 1.000000
236465.00000000 548265.93000031 32.45000076 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630863 61.000000 1.000000
236465.20001221 548265.63999939 32.52999878 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.630866 27.000000 1.000000
236465.39001465 548265.37999725 32.59999847 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.630868 23.000000 1.000000
236465.58001709 548265.11000061 32.63999939 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.630871 42.000000 1.000000
236465.76000977 548264.84999847 32.72999954 168.000000 1.000000 0.000000 1.000000 1.000000 234371016.630873 149.000000 1.000000
236465.96997070 548264.55999756 32.79000092 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.630876 53.000000 1.000000
236466.16998291 548264.27999878 32.93000031 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.630879 33.000000 1.000000
